name,provider_series_slug,scoreboard_candidate_url,status
Malawi Tri-Nation T20I Series,24696,https://site.api.espn.com/apis/site/v2/sports/cricket/24696/scoreboard,requires-series-validation
Germany in Finland T20I Match 2026,24668,https://site.api.espn.com/apis/site/v2/sports/cricket/24668/scoreboard,requires-series-validation
Thailand Women in Papua New Guinea T20I Series 2026,24666,https://site.api.espn.com/apis/site/v2/sports/cricket/24666/scoreboard,requires-series-validation
Malaysia in Bangladesh unofficial T20I Series 2026,24690,https://site.api.espn.com/apis/site/v2/sports/cricket/24690/scoreboard,requires-series-validation
Hong Kong v Uganda unofficial ODI Match 2026,24700,https://site.api.espn.com/apis/site/v2/sports/cricket/24700/scoreboard,requires-series-validation
Bangladesh Women Emerging Players in South Africa unofficial T20I Series 2026,24640,https://site.api.espn.com/apis/site/v2/sports/cricket/24640/scoreboard,requires-series-validation
Afghanistan in Ireland ODI Series 2026,24262,https://site.api.espn.com/apis/site/v2/sports/cricket/24262/scoreboard,requires-series-validation
Uganda in Tanzania unofficial ODI Match 2026,24701,https://site.api.espn.com/apis/site/v2/sports/cricket/24701/scoreboard,requires-series-validation
Bahrain in Kenya unofficial ODI Series 2026,24702,https://site.api.espn.com/apis/site/v2/sports/cricket/24702/scoreboard,requires-series-validation
Hong Kong in Tanzania unofficial ODI Series 2026,24703,https://site.api.espn.com/apis/site/v2/sports/cricket/24703/scoreboard,requires-series-validation
Spain Women in Switzerland T20I Match 2026,24635,https://site.api.espn.com/apis/site/v2/sports/cricket/24635/scoreboard,requires-series-validation
Pakistan Women in Sri Lanka T20I Series 2026,24507,https://site.api.espn.com/apis/site/v2/sports/cricket/24507/scoreboard,requires-series-validation
Bahrain in Kenya T20I Series 2026,24644,https://site.api.espn.com/apis/site/v2/sports/cricket/24644/scoreboard,requires-series-validation
South Africa Emerging Team Tri-Series 2026,,,missing-provider-slug-do-not-request
Bangladesh Emerging Team tour of South Africa 2026,24646,https://site.api.espn.com/apis/site/v2/sports/cricket/24646/scoreboard,requires-series-validation
Jersey Women in Switzerland T20I Match 2026,24613,https://site.api.espn.com/apis/site/v2/sports/cricket/24613/scoreboard,requires-series-validation
Canada Women in Argentina T20I Series 2026,24568,https://site.api.espn.com/apis/site/v2/sports/cricket/24568/scoreboard,requires-series-validation
Bangladesh Women Emerging Players in South Africa unofficial ODI Series 2026,24638,https://site.api.espn.com/apis/site/v2/sports/cricket/24638/scoreboard,requires-series-validation
Women's T20 Quadrangular Series (in Switzerland),24697,https://site.api.espn.com/apis/site/v2/sports/cricket/24697/scoreboard,requires-series-validation
Pakistan in West Indies Test Series 2026,24435,https://site.api.espn.com/apis/site/v2/sports/cricket/24435/scoreboard,requires-series-validation
Finland Women in Estonia T20I Series 2026,24617,https://site.api.espn.com/apis/site/v2/sports/cricket/24617/scoreboard,requires-series-validation
ECA Men's European Cup,24695,https://site.api.espn.com/apis/site/v2/sports/cricket/24695/scoreboard,requires-series-validation
Pakistan Women in Sri Lanka ODI Series 2026,24508,https://site.api.espn.com/apis/site/v2/sports/cricket/24508/scoreboard,requires-series-validation
India in Zimbabwe T20I Series 2026,24300,https://site.api.espn.com/apis/site/v2/sports/cricket/24300/scoreboard,requires-series-validation
Bangladesh in Zimbabwe T20I Series 2026,24417,https://site.api.espn.com/apis/site/v2/sports/cricket/24417/scoreboard,requires-series-validation
South Africa Women Under-19s in Pakistan unofficial T20I Series 2026,24581,https://site.api.espn.com/apis/site/v2/sports/cricket/24581/scoreboard,requires-series-validation
India in England ODI Series 2026,23807,https://site.api.espn.com/apis/site/v2/sports/cricket/23807/scoreboard,requires-series-validation
